"id","deviceID","location","logtime"
6026,"2e0c7957f0218eb8","42.891645935217056,-8.539096926883744","2023-03-20 00:15:36"
6027,"2e0c7957f0218eb8","42.891682409623314,-8.53905056408119","2023-03-20 00:16:13"
6028,"2e0c7957f0218eb8","42.891639529958375,-8.53905450631655","2023-03-20 00:16:23"
6029,"2e0c7957f0218eb8","42.891616607068954,-8.539058908883238","2023-03-20 00:16:33"
6030,"2e0c7957f0218eb8","42.89159144576643,-8.538802980810729","2023-03-20 00:16:43"
6031,"2e0c7957f0218eb8","42.89135385018932,-8.538488245061378","2023-03-20 00:16:53"
6032,"2e0c7957f0218eb8","42.89086119919294,-8.538267997739334","2023-03-20 00:17:03"
6033,"2e0c7957f0218eb8","42.89055886808088,-8.537637943671914","2023-03-20 00:17:13"
6034,"2e0c7957f0218eb8","42.88980830000361,-8.53772842741621","2023-03-20 00:17:23"
6035,"2e0c7957f0218eb8","42.889594575766026,-8.536922504725673","2023-03-20 00:17:33"
6036,"2e0c7957f0218eb8","42.88918543764894,-8.536371083459015","2023-03-20 00:17:43"
6037,"2e0c7957f0218eb8","42.889177627806,-8.536380933735952","2023-03-20 00:18:26"
6038,"2e0c7957f0218eb8","42.88870271162928,-8.536300238481202","2023-03-20 00:18:36"
6039,"2e0c7957f0218eb8","42.88802150340242,-8.535292788313859","2023-03-20 00:18:46"
6040,"2e0c7957f0218eb8","42.88761447746402,-8.534271512900215","2023-03-20 00:18:56"
6041,"2e0c7957f0218eb8","42.88832769108811,-8.533375331275062","2023-03-20 00:19:06"
6042,"2e0c7957f0218eb8","42.888434172890726,-8.532611898543651","2023-03-20 00:19:16"
6043,"2e0c7957f0218eb8","42.88769553758326,-8.53260993543765","2023-03-20 00:19:26"
6044,"2e0c7957f0218eb8","42.887129433730536,-8.532695318832534","2023-03-20 00:19:36"
6045,"2e0c7957f0218eb8","42.88711852744311,-8.532695295462688","2023-03-20 00:19:47"
6046,"2e0c7957f0218eb8","42.88676386530509,-8.532331540728107","2023-03-20 00:19:57"
6047,"2e0c7957f0218eb8","42.88682612436532,-8.530517609379975","2023-03-20 00:20:07"
6048,"2e0c7957f0218eb8","42.88757659593822,-8.528929738030582","2023-03-20 00:20:17"
6049,"2e0c7957f0218eb8","42.88721683168367,-8.52776612471694","2023-03-20 00:20:27"
6050,"2e0c7957f0218eb8","42.886345248586046,-8.527614660699617","2023-03-20 00:20:37"
6051,"2e0c7957f0218eb8","42.885333730402365,-8.52780619544599","2023-03-20 00:20:47"
6052,"2e0c7957f0218eb8","42.88408214960719,-8.528735562001033","2023-03-20 00:20:57"
6053,"2e0c7957f0218eb8","42.88283569054721,-8.52961491978152","2023-03-20 00:21:07"
6054,"2e0c7957f0218eb8","42.8817769532386,-8.530266507119784","2023-03-20 00:21:17"
6055,"2e0c7957f0218eb8","42.88126529337137,-8.529877799928306","2023-03-20 00:21:27"
6056,"2e0c7957f0218eb8","42.88080075389288,-8.528865818379513","2023-03-20 00:21:37"
6057,"2e0c7957f0218eb8","42.87972921441037,-8.529422728843759","2023-03-20 00:21:47"
6058,"2e0c7957f0218eb8","42.87862596310499,-8.529328984681193","2023-03-20 00:21:59"
6059,"2e0c7957f0218eb8","42.8774852884361,-8.528535064819932","2023-03-20 00:22:09"
6060,"2e0c7957f0218eb8","42.87640699938387,-8.528913482907479","2023-03-20 00:22:19"
6061,"2e0c7957f0218eb8","42.875296475593764,-8.530192985475374","2023-03-20 00:22:29"
6062,"2e0c7957f0218eb8","42.87434412743041,-8.530662575315871","2023-03-20 00:22:39"
6063,"2e0c7957f0218eb8","42.87253081745156,-8.531625656550146","2023-03-20 00:22:49"
6064,"2e0c7957f0218eb8","42.871278865840814,-8.532597932447791","2023-03-20 00:22:59"
6065,"2e0c7957f0218eb8","42.87132580645742,-8.534317622464231","2023-03-20 00:23:09"
6066,"2e0c7957f0218eb8","42.87102063153152,-8.534530864025498","2023-03-20 00:23:19"
6067,"2e0c7957f0218eb8","42.86992282752114,-8.533397108889039","2023-03-20 00:23:29"
6068,"2e0c7957f0218eb8","42.86875653271383,-8.532958928819898","2023-03-20 00:23:39"
6069,"2e0c7957f0218eb8","42.8680298938215,-8.53225602076757","2023-03-20 00:23:49"
6070,"2e0c7957f0218eb8","42.86721725469307,-8.531232487266028","2023-03-20 00:24:00"
6071,"2e0c7957f0218eb8","42.86704746028068,-8.530993059157945","2023-03-20 00:24:09"
6072,"2e0c7957f0218eb8","42.86707261225468,-8.531057394606396","2023-03-20 00:24:22"
